"Employee Number","First Name","Last Name","Email Address","Department","Job Level","Tenure","Pay Rate","Base Comp","Gender","Ethnicity","Tenure Date","Report Effective Date"
"00000184","Will","Pronteau","will.pronteau@widgetcorp.com","Design","Associate",3.71496992241967,40.16,83542.8953676735,"Male",1,2015-04-14,2018-12-31
"00000186","Melina","Lau","melina.lau@widgetcorp.com","Design","Associate",3.71754327517078,32.34,67272.3761690186,"Female",2,2015-04-13,2018-12-31
"00000226","Matthew","Lavelle","matthew.lavelle@widgetcorp.com","Design","Analyst",3.91145027865357,30.38,63186.9598844992,"Male",5,2015-02-01,2018-12-31
"00000248","Courtney","Zweifel","courtney.zweifel@widgetcorp.com","Design","Associate",4.01793221426393,31.66,65854.5417254901,"Female",5,2014-12-24,2018-12-31
"00000252","Sukaina","el-Shakoor","sukaina.el-shakoor@widgetcorp.com","Design","Analyst",4.03461402053822,26.98,56112.44501658,"Female",6,2014-12-18,2018-12-31
"00000311","Kento","Shin","kento.shin@widgetcorp.com","Design","Associate",4.34347440188132,46.8,97335.7439906541,"Male",2,2014-08-27,2018-12-31
"00000312","Raafi","el-Rasul","raafi.el-rasul@widgetcorp.com","Design","Analyst",4.34621629112167,34.2,71133.290904189,"Male",6,2014-08-26,2018-12-31
"00000318","Tyler","Orr","tyler.orr@widgetcorp.com","Design","Associate",4.38375606481015,33.77,70246.3727655573,"Male",4,2014-08-12,2018-12-31
"00000342","Elizabeth","Thomas","elizabeth.thomas@widgetcorp.com","Design","Analyst",4.49621501377989,27.64,57501.4431233803,"Female",5,2014-07-02,2018-12-31
"00000421","Demi","Castro","demi.castro@widgetcorp.com","Design","Associate",4.87206958730736,32.68,67973.8076152768,"Female",2,2014-02-15,2018-12-31
"00000503","Tyler","Reilly","tyler.reilly@widgetcorp.com","Design","Associate",5.25333731432302,41.52,86358.0598044153,"Male",2,2013-09-29,2018-12-31
"00000555","Meagan","Vang","meagan.vang@widgetcorp.com","Design","Manager",5.48924595616862,37.67,78361.8424288012,"Female",2,2013-07-05,2018-12-31
"00000594","Cainan","Herrera","cainan.herrera@widgetcorp.com","Design","Manager",5.67681921920321,48.25,100359.994254295,"Male",1,2013-04-27,2018-12-31
"00000641","Jair","Gonzales","jair.gonzales@widgetcorp.com","Design","Manager",5.91662988246405,41.8,86948.6266460323,"Male",4,2013-01-29,2018-12-31
"00000654","Amninder","Tran","amninder.tran@widgetcorp.com","Design","Analyst",6.00757133932293,43.71,90911.8980323916,"Male",2,2012-12-27,2018-12-31
"00000657","Afaaf","el-Semaan","afaaf.el-semaan@widgetcorp.com","Design","Associate",6.0283654166733,33.28,69230.1585056819,"Female",6,2012-12-20,2018-12-31
"00000687","Marzooq","al-Anwar","marzooq.al-anwar@widgetcorp.com","Design","Manager",6.19137758784727,48.36,100583.116048058,"Male",6,2012-10-21,2018-12-31
"00000695","Stephanie","Ramirez","stephanie.ramirez@widgetcorp.com","Design","Associate",6.22730199548859,34.81,72404.6300976425,"Female",4,2012-10-08,2018-12-31
"00000724","Waddaah","al-Kazemi","waddaah.al-kazemi@widgetcorp.com","Design","VP",6.40261075391026,65.37,135977.442444012,"Male",6,2012-08-05,2018-12-31
"00000740","Mas'ooda","al-Malek","mas'ooda.al-malek@widgetcorp.com","Design","Associate",6.47997670176343,34.29,71327.9034564208,"Female",6,2012-07-08,2018-12-31
"00000784","Chanae","Collins","chanae.collins@widgetcorp.com","Design","Director",6.7920561204294,43.79,91093.3174401223,"Female",3,2012-03-16,2018-12-31
"00000808","John","Bordeaux","john.bordeaux@widgetcorp.com","Design","Manager",6.96922596195844,53,110233.658184302,"Male",5,2012-01-11,2018-12-31
"00000810","Zaid","el-Ahmed","zaid.el-ahmed@widgetcorp.com","Design","Manager",6.98514104258986,40.45,84131.7674648569,"Male",6,2012-01-05,2018-12-31
"00000838","Bethany","Cardoza","bethany.cardoza@widgetcorp.com","Design","Manager",7.25978293093706,39.34,81821.8803525337,"Female",1,2011-09-27,2018-12-31
"00000869","Danielle","Smith","danielle.smith@widgetcorp.com","Design","Director",7.59758119958484,43.43,90334.123264428,"Female",3,2011-05-26,2018-12-31
"00000870","Wasmaaa","el-Bina","wasmaaa.el-bina@widgetcorp.com","Design","Associate",7.60074397353647,34.94,72671.8659799492,"Female",6,2011-05-25,2018-12-31
"00000947","Taajuddeen","el-Hannan","taajuddeen.el-hannan@widgetcorp.com","Design","Director",8.69452513605634,70.08,145771.486776427,"Male",6,2010-04-21,2018-12-31
"00000953","Jeremiah","Chen","jeremiah.chen@widgetcorp.com","Design","Director",8.84482537833668,63.6,132278.179172957,"Male",2,2010-02-25,2018-12-31
"00000955","Nutthavasa","Gandhi","nutthavasa.gandhi@widgetcorp.com","Design","Director",8.86308935737456,46.06,95806.02407146,"Female",2,2010-02-18,2018-12-31
"00000961","Andres","Orozco","andres.orozco@widgetcorp.com","Design","Executive",9.0844148624353,91.04,189363.354780348,"Male",4,2009-11-29,2018-12-31
"00000994","Kalyn","Kennedy","kalyn.kennedy@widgetcorp.com","Design","Executive",10.5895276224658,53.75,111792.254389246,"Female",5,2008-05-29,2018-12-31
"00000002","Sivilize","Ellett","sivilize.ellett@widgetcorp.com","Engineering","Analyst",0.849913810380936,37.62,78253.0113171461,"Male",2,2018-02-23,2018-12-31
"00000022","Michael","Paskemin","michael.paskemin@widgetcorp.com","Engineering","Analyst",2.14772012650507,28.95,60218.5874276366,"Male",1,2016-11-06,2018-12-31
"00000036","Hayden","Lovelace","hayden.lovelace@widgetcorp.com","Engineering","Analyst",2.38014501504915,33.4,69480.791772921,"Male",1,2016-08-13,2018-12-31
"00000041"," Sakeena","el-Semaan"," sakeena.el-semaan@widgetcorp.com","Engineering","Analyst",2.43123487466502,26.49,55098.2767086681,"Female",6,2016-07-25,2018-12-31
"00000043","Saul","Palma-Valle","saul.palma-valle@widgetcorp.com","Engineering","Analyst",2.45960509854756,41.28,85856.4430502216,"Male",4,2016-07-15,2018-12-31
"00000052","Saalima","al-Abdelnour","saalima.al-abdelnour@widgetcorp.com","Engineering","Analyst",2.52902189227876,29.05,60422.105596786,"Female",6,2016-06-20,2018-12-31
"00000062","Abdur Razzaaq","el-Hallal","abdur razzaaq.el-hallal@widgetcorp.com","Engineering","Analyst",2.71782564323676,36.69,76310.3972322853,"Male",6,2016-04-12,2018-12-31
"00000065","Calvin","Nguyen","calvin.nguyen@widgetcorp.com","Engineering","Analyst",2.7477433479879,37.56,78126.5559906843,"Male",2,2016-04-01,2018-12-31
"00000071","Leah","Ford","leah.ford@widgetcorp.com","Engineering","Analyst",2.82528393146074,26.4,54919.0524291377,"Female",5,2016-03-04,2018-12-31
"00000075","Andrea","Chavelas-Rosas","andrea.chavelas-rosas@widgetcorp.com","Engineering","Analyst",2.87581313589683,23.79,49483.060465361,"Female",4,2016-02-14,2018-12-31
"00000080","Davier","Guardipee","davier.guardipee@widgetcorp.com","Engineering","Analyst",2.90542643875257,31.14,64762.4675412942,"Male",1,2016-02-03,2018-12-31
"00000085","Nico","Carter","nico.carter@widgetcorp.com","Engineering","Analyst",2.94987283940857,27.37,56933.4141201075,"Male",1,2016-01-18,2018-12-31
"00000087","Tyler","Oswalt-Naasz","tyler.oswalt-naasz@widgetcorp.com","Engineering","Analyst",2.98266609374772,42.45,88298.2011117626,"Male",1,2016-01-06,2018-12-31
"00000091","Kenneth","Linhardt","kenneth.linhardt@widgetcorp.com","Engineering","Analyst",3.03724270736342,35.47,73787.679356825,"Male",5,2015-12-17,2018-12-31
"00000114","Jose","Garcia","jose.garcia@widgetcorp.com","Engineering","Analyst",3.24303372829061,44.28,92092.0906366092,"Male",4,2015-10-03,2018-12-31
"00000120","Joseph","Stewart","joseph.stewart@widgetcorp.com","Engineering","Associate",3.29000429385463,40.99,85263.5397838832,"Male",1,2015-09-16,2018-12-31
"00000133","Daniel","Poudyal","daniel.poudyal@widgetcorp.com","Engineering","Analyst",3.382673179231,34.38,71508.349823214,"Male",2,2015-08-13,2018-12-31
"00000141","Matea","Dick","matea.dick@widgetcorp.com","Engineering","Associate",3.44717307275948,33.65,69990.5453999588,"Female",1,2015-07-20,2018-12-31
"00000155","Anthony","Boulier","anthony.boulier@widgetcorp.com","Engineering","Analyst",3.55432435756697,46.29,96288.5031081793,"Male",1,2015-06-11,2018-12-31
"00000163","Jeremy","Culhane","jeremy.culhane@widgetcorp.com","Engineering","Associate",3.61299293057557,41.55,86418.2566540445,"Male",1,2015-05-21,2018-12-31
"00000165","Tawheeda","al-Kaiser","tawheeda.al-kaiser@widgetcorp.com","Engineering","Analyst",3.61701638566651,25.82,53701.3586506341,"Female",6,2015-05-19,2018-12-31
"00000180","Thomas","Elder","thomas.elder@widgetcorp.com","Engineering","Analyst",3.70146975118492,34.92,72639.1295061255,"Male",5,2015-04-19,2018-12-31
"00000193","Joshua","Hickman","joshua.hickman@widgetcorp.com","Engineering","Analyst",3.75235130531288,43.08,89603.8532400944,"Male",5,2015-03-31,2018-12-31
"00000195","Joshua","Bonser","joshua.bonser@widgetcorp.com","Engineering","Analyst",3.76238561916213,30.38,63190.7887054529,"Male",1,2015-03-27,2018-12-31
"00000203","Caroline","Ho","caroline.ho@widgetcorp.com","Engineering","Analyst",3.79913054784698,29.46,61282.186771838,"Female",2,2015-03-14,2018-12-31
"00000206","Horlando","Estrada","horlando.estrada@widgetcorp.com","Engineering","Analyst",3.8088225343993,40.49,84216.6628985415,"Male",4,2015-03-10,2018-12-31
"00000232","Ramziyya","el-Baksh","ramziyya.el-baksh@widgetcorp.com","Engineering","Analyst",3.94200533613764,28.26,58778.3538371906,"Female",6,2015-01-21,2018-12-31
"00000233","Laaiqa","al-Vohra","laaiqa.al-vohra@widgetcorp.com","Engineering","Analyst",3.94524679965718,28.5,59286.2707152415,"Female",6,2015-01-19,2018-12-31
"00000238","Jai","Pruitt","jai.pruitt@widgetcorp.com","Engineering","Analyst",3.96232485222363,26.5,55116.100414789,"Female",3,2015-01-13,2018-12-31
"00000273","Abdur Raheem","el-Selim","abdur raheem.el-selim@widgetcorp.com","Engineering","Associate",4.11966623780307,42.46,88308.1574103201,"Male",6,2014-11-17,2018-12-31
"00000278","Julius","Lewis","julius.lewis@widgetcorp.com","Engineering","Associate",4.13958700769677,31.15,64798.5413047939,"Male",3,2014-11-10,2018-12-31
"00000279","Freddy","Galvan","freddy.galvan@widgetcorp.com","Engineering","Associate",4.16268772997398,35.51,73864.0978398487,"Male",4,2014-11-01,2018-12-31
"00000284","Caleb","Tawater","caleb.tawater@widgetcorp.com","Engineering","Associate",4.17117926549948,48,99829.7368531662,"Male",2,2014-10-29,2018-12-31
"00000316","Alexandra","Wagner","alexandra.wagner@widgetcorp.com","Engineering","Analyst",4.37562843180879,27.18,56540.1780888795,"Female",5,2014-08-15,2018-12-31
"00000326","Brannon","Garcia","brannon.garcia@widgetcorp.com","Engineering","Manager",4.41064970524926,52.41,109013.08560053,"Male",1,2014-08-03,2018-12-31
"00000332","Justin","Rojas-Hudson","justin.rojas-hudson@widgetcorp.com","Engineering","Associate",4.45958791871915,34.15,71042.110792936,"Male",3,2014-07-16,2018-12-31
"00000333","Joselyne","Rojas Mendoza","joselyne.rojas mendoza@widgetcorp.com","Engineering","Associate",4.46243741008484,31.82,66183.6176438513,"Female",4,2014-07-15,2018-12-31
"00000341","Forrest","Paulsen","forrest.paulsen@widgetcorp.com","Engineering","Associate",4.4960208309276,42.56,88534.2072769567,"Male",5,2014-07-02,2018-12-31
"00000349","Sarah","Billups","sarah.billups@widgetcorp.com","Engineering","Analyst",4.51719452144458,27.92,58082.055262395,"Female",2,2014-06-25,2018-12-31
"00000378","Andre","Morin","andre.morin@widgetcorp.com","Engineering","Manager",4.68523999422315,55.29,114999.677938103,"Male",1,2014-04-24,2018-12-31
"00000379","Nicholas","Stewart","nicholas.stewart@widgetcorp.com","Engineering","Associate",4.69330130163905,35.01,72811.3450741592,"Male",5,2014-04-21,2018-12-31
"00000385","Amaris","Rios","amaris.rios@widgetcorp.com","Engineering","Manager",4.72164707917131,38.4,79865.3154436741,"Female",4,2014-04-11,2018-12-31
"00000391","Alec","Larson","alec.larson@widgetcorp.com","Engineering","Analyst",4.74553699884694,36.25,75391.857749953,"Male",5,2014-04-02,2018-12-31
"00000399","Cassandra","Choudhry","cassandra.choudhry@widgetcorp.com","Engineering","Associate",4.78151886597299,32.01,66590.8505283898,"Female",2,2014-03-20,2018-12-31
"00000429","Shalise","Phillips","shalise.phillips@widgetcorp.com","Engineering","Manager",4.91903385900189,38.33,79731.4908395706,"Female",3,2014-01-29,2018-12-31
"00000446","Thao","Xiong","thao.xiong@widgetcorp.com","Engineering","Manager",4.98477074166421,38.22,79488.3888121397,"Female",2,2014-01-05,2018-12-31
"00000447","Jijo","Nguyen","jijo.nguyen@widgetcorp.com","Engineering","Analyst",4.98912102046006,40.74,84729.5399549145,"Male",2,2014-01-03,2018-12-31
"00000469","Demetria","Aguilar","demetria.aguilar@widgetcorp.com","Engineering","Analyst",5.08706587652595,27.25,56685.8410157744,"Female",4,2013-11-28,2018-12-31
"00000471","Giovanni","Hernandez","giovanni.hernandez@widgetcorp.com","Engineering","Associate",5.09174123656685,41.2,85686.8288408376,"Male",4,2013-11-27,2018-12-31
"00000498","Janiece","Gutierrez","janiece.gutierrez@widgetcorp.com","Engineering","Associate",5.22272871705202,31.54,65594.2435368115,"Female",4,2013-10-10,2018-12-31
"00000501","Juan","Dorado Garcia","juan.dorado garcia@widgetcorp.com","Engineering","Associate",5.23470239199331,28.27,58808.7746242596,"Male",4,2013-10-06,2018-12-31
"00000526","Saxon","Dodson","saxon.dodson@widgetcorp.com","Engineering","Analyst",5.35672453274409,25.06,52122.1979994971,"Male",3,2013-08-22,2018-12-31
"00000546","Jared","Garcia","jared.garcia@widgetcorp.com","Engineering","Associate",5.4394347436619,48.25,100352.817226512,"Male",1,2013-07-23,2018-12-31
"00000549","Israel","Hernandez","israel.hernandez@widgetcorp.com","Engineering","Associate",5.4436534095447,56.57,117657.801942424,"Male",4,2013-07-21,2018-12-31
"00000587","Ryan","Guerrero","ryan.guerrero@widgetcorp.com","Engineering","Associate",5.6456206899227,29.12,60577.2484793752,"Male",1,2013-05-08,2018-12-31
"00000591","Roberto","Negrete","roberto.negrete@widgetcorp.com","Engineering","Associate",5.66563332785611,51.73,107589.312212771,"Male",4,2013-05-01,2018-12-31
"00000596","Awad","el-Dada","awad.el-dada@widgetcorp.com","Engineering","Associate",5.68594556164399,42.74,88904.5427290975,"Male",6,2013-04-24,2018-12-31
"00000619","Rachel","Arndt","rachel.arndt@widgetcorp.com","Engineering","Associate",5.81468270542455,33.36,69395.7717032659,"Female",5,2013-03-08,2018-12-31
"00000624","Humaira","el-Sawaya","humaira.el-sawaya@widgetcorp.com","Engineering","Associate",5.83449858479976,33.52,69726.1097670561,"Female",6,2013-02-28,2018-12-31
"00000627","Tyra","Copeland","tyra.copeland@widgetcorp.com","Engineering","Analyst",5.85691510205082,28.73,59767.2927640605,"Female",3,2013-02-20,2018-12-31
"00000647","Toby","Hager","toby.hager@widgetcorp.com","Engineering","Associate",5.95302013754574,35.52,73883.5777580181,"Male",5,2013-01-16,2018-12-31
"00000652","Katrina","Pluto","katrina.pluto@widgetcorp.com","Engineering","Manager",5.97680288020992,36.15,75195.351817014,"Female",2,2013-01-07,2018-12-31
"00000659","Jonathon","Westfield","jonathon.westfield@widgetcorp.com","Engineering","Manager",6.03446962511247,47.86,99553.0855834199,"Male",3,2012-12-17,2018-12-31
"00000669","Martha","Olivas","martha.olivas@widgetcorp.com","Engineering","VP",6.10841155944426,49.48,102921.704340598,"Female",4,2012-11-20,2018-12-31
"00000679","Tanner","Smith","tanner.smith@widgetcorp.com","Engineering","Associate",6.17518756432453,34.26,71262.2879879916,"Male",5,2012-10-27,2018-12-31
"00000701","Althean","Thrush","althean.thrush@widgetcorp.com","Engineering","Director",6.25369397483995,45.33,94282.536349925,"Male",1,2012-09-28,2018-12-31
"00000707","Marcus","Wiggins","marcus.wiggins@widgetcorp.com","Engineering","Manager",6.30193624120997,47.09,97950.1155396258,"Male",3,2012-09-11,2018-12-31
"00000718","Isaiah","Moore","isaiah.moore@widgetcorp.com","Engineering","Director",6.3679079215222,60.62,126093.339405651,"Male",3,2012-08-18,2018-12-31
"00000736","Austin","Casias","austin.casias@widgetcorp.com","Engineering","Manager",6.46765285574006,41.96,87274.4513408253,"Male",4,2012-07-12,2018-12-31
"00000748","Carissa","Mendoza","carissa.mendoza@widgetcorp.com","Engineering","Manager",6.52670398349391,37.98,79001.8733411561,"Female",4,2012-06-21,2018-12-31
"00000753","Simone","Schwartz","simone.schwartz@widgetcorp.com","Engineering","Associate",6.5679868766454,35.8,74472.1521373045,"Female",5,2012-06-06,2018-12-31
"00000760","Ricky","Elhussen","ricky.elhussen@widgetcorp.com","Engineering","Manager",6.63410866332852,37.61,78223.5219184063,"Male",3,2012-05-12,2018-12-31
"00000761","Elias","John","elias.john@widgetcorp.com","Engineering","Director",6.65489405949435,55.13,114662.045535107,"Male",5,2012-05-05,2018-12-31
"00000772","Victor","Todd","victor.todd@widgetcorp.com","Engineering","Manager",6.71194303402137,54.43,113213.619938273,"Male",1,2012-04-14,2018-12-31
"00000778","Shaahira","el-Uddin","shaahira.el-uddin@widgetcorp.com","Engineering","Associate",6.73305582137384,33.04,68719.2383516791,"Female",6,2012-04-06,2018-12-31
"00000781","Nohelia","Unruh","nohelia.unruh@widgetcorp.com","Engineering","Manager",6.75685023227034,37.12,77218.2359236691,"Female",1,2012-03-29,2018-12-31
"00000824","Kate","Xue","kate.xue@widgetcorp.com","Engineering","Director",7.16635922053865,41.8,86946.133917125,"Female",2,2011-10-31,2018-12-31
"00000843","Ruby","Miller","ruby.miller@widgetcorp.com","Engineering","Director",7.3091760042999,43.94,91405.1424397897,"Female",1,2011-09-09,2018-12-31
"00000864","Erin","Kubit","erin.kubit@widgetcorp.com","Engineering","Manager",7.54889190417223,39.94,83083.3182071232,"Female",2,2011-06-13,2018-12-31
"00000876","Christian","Westphal","christian.westphal@widgetcorp.com","Engineering","Manager",7.63381189846016,55.99,116452.96708827,"Male",2,2011-05-13,2018-12-31
"00000897","Jannelle","Parker","jannelle.parker@widgetcorp.com","Engineering","VP",7.96057885120763,49.2,102326.11337197,"Female",3,2011-01-14,2018-12-31
"00000905","Marian","Lockhart","marian.lockhart@widgetcorp.com","Engineering","VP",8.08703874178569,50.19,104393.480825733,"Female",5,2010-11-29,2018-12-31
"00000933","Ishaaq","el-Mahmoud","ishaaq.el-mahmoud@widgetcorp.com","Engineering","Director",8.44589903459964,67.31,140005.777393139,"Male",6,2010-07-21,2018-12-31
"00000940","Kaitlyn","Davis","kaitlyn.davis@widgetcorp.com","Engineering","Executive",8.57368815246637,54.2,112741.974890523,"Female",5,2010-06-04,2018-12-31
"00000956","Deion","Sharpe","deion.sharpe@widgetcorp.com","Engineering","Director",8.87122790594468,52.97,110187.025202748,"Male",1,2010-02-15,2018-12-31
"00000963","Summer","Connely","summer.connely@widgetcorp.com","Engineering","VP",9.12418206476289,49.01,101948.933858148,"Female",5,2009-11-15,2018-12-31
"00000965","Friedrich","Smith Small","friedrich.smith small@widgetcorp.com","Engineering","VP",9.16309196627426,58.29,121237.72567309,"Male",3,2009-11-01,2018-12-31
"00000968","Ngadi","Howard","ngadi.howard@widgetcorp.com","Engineering","VP",9.27478213102442,51.11,106312.275943884,"Female",3,2009-09-21,2018-12-31
"00000975","Husaam","el-Shehata","husaam.el-shehata@widgetcorp.com","Engineering","VP",9.6437357574324,77.93,162089.448601505,"Male",6,2009-05-09,2018-12-31
"00000985","Indigo","Begay","indigo.begay@widgetcorp.com","Engineering","Executive",10.0608710762712,69.77,145112.613020121,"Male",1,2008-12-08,2018-12-31
"00000996","Daijha","Cook","daijha.cook@widgetcorp.com","Engineering","Executive",10.907358875084,54.87,114127.671086346,"Female",3,2008-02-03,2018-12-31
"00000997","Robert","Young","robert.young@widgetcorp.com","Engineering","Executive",10.9215182397508,88.44,183959.780838651,"Male",3,2008-01-28,2018-12-31
"00000023","Bintang","Muramatsu","bintang.muramatsu@widgetcorp.com","Executive","Analyst",2.18373647297803,67,139367.153367919,"Male",2,2016-10-24,2018-12-31
"00000149","Carolyn","Berhanu","carolyn.berhanu@widgetcorp.com","Executive","Analyst",3.52504400525888,47.02,97801.8672881513,"Female",3,2015-06-22,2018-12-31
"00000168","Mackenzie","Quinby","mackenzie.quinby@widgetcorp.com","Executive","Analyst",3.62329374262575,44.76,93111.0454578531,"Female",5,2015-05-17,2018-12-31
"00000281","Austin","Esparza","austin.esparza@widgetcorp.com","Executive","Analyst",4.16734668560988,51.42,106948.343878765,"Male",4,2014-10-30,2018-12-31
"00000553","Morgan","Sonoda","morgan.sonoda@widgetcorp.com","Executive","Manager",5.47719160457054,65,135202.345168911,"Female",2,2013-07-09,2018-12-31
"00000620","Cristian","Lerma","cristian.lerma@widgetcorp.com","Executive","Manager",5.82380105521342,79.29,164924.578469042,"Male",4,2013-03-04,2018-12-31
"00000883","Brylle","Soto","brylle.soto@widgetcorp.com","Executive","VP",7.73843443003167,92.22,191826.08734138,"Male",2,2011-04-05,2018-12-31
