"Employee Number","First Name","Last Name","Email Address","Department","Job Level","Tenure","Tenure Date","Pay Rate","Base Comp","Gender","Ethnicity","Report Effective Date"
"00000545","Nicole","Lobato","nicole.lobato@widgetcorp.com","Admin Offices","Associate",1.77262635168616,2018-09-13,32.36,67311.2931097312,"Female",1,2020-06-22
"00000141","Sasha","Rambo","sasha.rambo@widgetcorp.com","Complaince","Manager",6.80020368013782,2013-09-03,39.42,81990.9351226312,"Female",1,2020-06-22
"00000191","Jennifer","Holton","jennifer.holton@widgetcorp.com","Complaince","Analyst",6.1394940948089,2014-05-02,28.85,60017.7989822996,"Female",5,2020-06-22
"00000205","Abdul Qayyoom","al-Farrah","abdul qayyoom.al-farrah@widgetcorp.com","Complaince","Director",5.98376952937591,2014-06-28,46.65,97024.4974503463,"Male",6,2020-06-22
"00000312","Jessica","Rivers","jessica.rivers@widgetcorp.com","Complaince","Analyst",5.0478267438503,2015-06-05,28.98,60278.540170561,"Female",3,2020-06-22
"00000344","Paul","Ellis","paul.ellis@widgetcorp.com","Complaince","Manager",4.71061788428911,2015-10-06,52.99,110226.519253352,"Male",5,2020-06-22
"00000351","Kaitlyn","Maldonado","kaitlyn.maldonado@widgetcorp.com","Complaince","Manager",4.66190344239731,2015-10-24,33.55,69777.7952603469,"Female",1,2020-06-22
"00000501","Kai","Nguyen","kai.nguyen@widgetcorp.com","Complaince","Analyst",3.01927666524551,2017-06-15,47.84,99515.8674123188,"Male",2,2020-06-22
"00000509","Karen","Granados","karen.granados@widgetcorp.com","Complaince","Analyst",2.93695361063151,2017-07-15,27.22,56621.3551553994,"Female",4,2020-06-22
"00000067","Jacob","Breckenridge","jacob.breckenridge@widgetcorp.com","Design","VP",8.10877782342622,2012-05-13,67.26,139895.758164419,"Male",1,2020-06-22
"00000076","Courtney","Dunn","courtney.dunn@widgetcorp.com","Design","VP",7.7638488422962,2012-09-16,49.49,102943.08568034,"Female",1,2020-06-22
"00000080","Chassity","Walck","chassity.walck@widgetcorp.com","Design","Director",7.69862850590202,2012-10-10,45.4,94434.8633121139,"Female",1,2020-06-22
"00000085","Luis","Aragon","luis.aragon@widgetcorp.com","Design","Director",7.58113216125772,2012-11-21,46.72,97183.1143851395,"Male",4,2020-06-22
"00000101","Kayla","Williams","kayla.williams@widgetcorp.com","Design","Director",7.29498014929932,2013-03-06,44.39,92337.8311405433,"Female",1,2020-06-22
"00000112","Chaunsae","Christians","chaunsae.christians@widgetcorp.com","Design","Manager",7.16138604865734,2013-04-24,41.77,86873.2756627584,"Male",3,2020-06-22
"00000123","Rushdi","al-Moghaddam","rushdi.al-moghaddam@widgetcorp.com","Design","Manager",7.03666864359711,2013-06-08,38.23,79519.4201538765,"Male",6,2020-06-22
"00000125","Trent","Laner","trent.laner@widgetcorp.com","Design","Analyst",7.00275380699545,2013-06-21,40.34,83916.4514314716,"Male",1,2020-06-22
"00000130","Layaali","el-Yousif","layaali.el-yousif@widgetcorp.com","Design","Director",6.94581176382839,2013-07-12,41.63,86598.5828120191,"Female",6,2020-06-22
"00000145","Corwin","Alcon","corwin.alcon@widgetcorp.com","Design","Manager",6.71403176682729,2013-10-04,63.65,132385.162123988,"Male",5,2020-06-22
"00000149","Daiszha","Lander","daiszha.lander@widgetcorp.com","Design","VP",6.6612126319353,2013-10-23,48.78,101453.633457774,"Female",3,2020-06-22
"00000203","Dajanae","Dessie","dajanae.dessie@widgetcorp.com","Design","Director",5.99504772253164,2014-06-24,44.26,92061.2489207722,"Female",3,2020-06-22
"00000222","Vanessa","Naranjo","vanessa.naranjo@widgetcorp.com","Design","Manager",5.81921578181969,2014-08-27,39.12,81376.9485228461,"Female",1,2020-06-22
"00000230","Selastina","Trujillo","selastina.trujillo@widgetcorp.com","Design","Manager",5.72007977737658,2014-10-02,37.96,78949.5431816615,"Female",4,2020-06-22
"00000239","Nohelia","Nading","nohelia.nading@widgetcorp.com","Design","Analyst",5.63197442111882,2014-11-03,25.89,53850.6473470581,"Female",1,2020-06-22
"00000271","Meredith","Genoshe","meredith.genoshe@widgetcorp.com","Design","Associate",5.38552006023627,2015-02-01,32.98,68599.6345022732,"Female",5,2020-06-22
"00000272","Angela","Savedra","angela.savedra@widgetcorp.com","Design","Associate",5.3848212066694,2015-02-02,31.12,64738.520675844,"Female",4,2020-06-22
"00000345","Albert","Do","albert.do@widgetcorp.com","Design","Manager",4.70609097970893,2015-10-08,54.81,114000.648234431,"Male",2,2020-06-22
"00000349","Brandon","Denton","brandon.denton@widgetcorp.com","Design","Associate",4.68396413660423,2015-10-16,47.09,97950.0279568625,"Male",3,2020-06-22
"00000352","Rachel","Million","rachel.million@widgetcorp.com","Design","Analyst",4.65351935952456,2015-10-27,28.43,59129.6395155611,"Female",5,2020-06-22
"00000358","Travis","Devilbiss","travis.devilbiss@widgetcorp.com","Design","Associate",4.57675530178668,2015-11-24,47.11,97992.9198740338,"Male",5,2020-06-22
"00000375","Trevor","Fabrizius","trevor.fabrizius@widgetcorp.com","Design","Analyst",4.45053396858378,2016-01-09,38.93,80964.8876551002,"Male",5,2020-06-22
"00000377","Leana","Rice-Sayers","leana.rice-sayers@widgetcorp.com","Design","Associate",4.44660960576669,2016-01-10,30.7,63855.6599245394,"Female",3,2020-06-22
"00000402","Orville","Salvino","orville.salvino@widgetcorp.com","Design","Manager",4.25570247213274,2016-03-20,63.68,132463.598137599,"Male",3,2020-06-22
"00000414","Natasha","Summers","natasha.summers@widgetcorp.com","Design","Associate",4.01594169263715,2016-06-16,33.72,70143.185857119,"Female",3,2020-06-22
"00000425","Isaiah","Lee","isaiah.lee@widgetcorp.com","Design","Manager",3.90202533471966,2016-07-27,51.99,108137.518925426,"Male",3,2020-06-22
"00000428","Destiny","Pratt","destiny.pratt@widgetcorp.com","Design","Analyst",3.84860829145783,2016-08-16,28.73,59767.2893828474,"Female",1,2020-06-22
"00000429","Janari","Marsh","janari.marsh@widgetcorp.com","Design","Analyst",3.83962515213017,2016-08-19,31.35,65216.5607995466,"Male",3,2020-06-22
"00000435","Ashley","Tarango Sandoval","ashley.tarango sandoval@widgetcorp.com","Design","Analyst",3.82003775648718,2016-08-26,30.5,63446.9688318024,"Female",1,2020-06-22
"00000437","Gabrielle","Fischer","gabrielle.fischer@widgetcorp.com","Design","Associate",3.79951176917188,2016-09-03,30.73,63915.0349022905,"Female",1,2020-06-22
"00000440","Aasiya","al-Hussein","aasiya.al-hussein@widgetcorp.com","Design","Associate",3.7821835218233,2016-09-09,34.19,71118.3580979944,"Female",6,2020-06-22
"00000447","Robert","Abrams","robert.abrams@widgetcorp.com","Design","Analyst",3.6930745469028,2016-10-12,29.69,61763.2374199239,"Male",3,2020-06-22
"00000455","Man","Xiong","man.xiong@widgetcorp.com","Design","Associate",3.58740637570034,2016-11-19,52.52,109242.166507118,"Male",2,2020-06-22
"00000456","Ishmal","Thompkins Jr","ishmal.thompkins jr@widgetcorp.com","Design","Associate",3.58116598543362,2016-11-21,32.4,67388.9232330043,"Male",3,2020-06-22
"00000468","Mahdeeya","el-Shehadeh","mahdeeya.el-shehadeh@widgetcorp.com","Design","Associate",3.47298963722663,2016-12-31,32.59,67782.3169208294,"Female",6,2020-06-22
"00000495","Amanda","Booth","amanda.booth@widgetcorp.com","Design","Associate",3.14368958479297,2017-04-30,31.85,66238.7865278946,"Female",5,2020-06-22
"00000500","William","Marlow","william.marlow@widgetcorp.com","Design","Analyst",3.0467552094135,2017-06-05,30.85,64168.1345731889,"Male",1,2020-06-22
"00000510","Kurt","Fleischli","kurt.fleischli@widgetcorp.com","Design","Analyst",2.88850503660446,2017-08-01,31.47,65457.7277620123,"Male",5,2020-06-22
"00000516","Abhisaar","Chen","abhisaar.chen@widgetcorp.com","Design","Analyst",2.76081908777131,2017-09-17,49.13,102190.245895924,"Male",2,2020-06-22
"00000523","Marisol","Larson","marisol.larson@widgetcorp.com","Design","Analyst",2.61637924382319,2017-11-09,28.94,60186.4957957747,"Female",4,2020-06-22
"00000525","Gabriela","Conchas-Garcia","gabriela.conchas-garcia@widgetcorp.com","Design","Analyst",2.51056530043019,2017-12-18,26,54086.3009468423,"Female",4,2020-06-22
"00000530","Aldo","Loya","aldo.loya@widgetcorp.com","Design","Analyst",2.38415359120019,2018-02-02,30.12,62647.5320369574,"Male",4,2020-06-22
"00000031","Victor","Escalante","victor.escalante@widgetcorp.com","Engineering","Director",9.89343667461828,2010-07-31,49.5,102961.45024602,"Male",4,2020-06-22
"00000036","Husni","al-Hosseini","husni.al-hosseini@widgetcorp.com","Engineering","VP",9.26995349925641,2011-03-16,62.35,129691.329375978,"Male",6,2020-06-22
"00000041","Nabeela","al-Saidi","nabeela.al-saidi@widgetcorp.com","Engineering","VP",9.06981336792867,2011-05-28,49.03,101981.011692796,"Female",6,2020-06-22
"00000046","Muneef","el-Salama","muneef.el-salama@widgetcorp.com","Engineering","VP",8.86389497153182,2011-08-11,60.6,126041.333941038,"Male",6,2020-06-22
"00000053","Cyrus","Le","cyrus.le@widgetcorp.com","Engineering","Director",8.56185518872285,2011-11-29,45.1,93808.4916447851,"Male",2,2020-06-22
"00000058","Cheyenne","Robertson","cheyenne.robertson@widgetcorp.com","Engineering","VP",8.3538673896185,2012-02-13,45.96,95600.9759163736,"Female",5,2020-06-22
"00000068","Philip","Quade","philip.quade@widgetcorp.com","Engineering","VP",8.06487941796905,2012-05-29,69.08,143696.267305562,"Male",5,2020-06-22
"00000075","Jorge","Rojas Perez","jorge.rojas perez@widgetcorp.com","Engineering","VP",7.86035319357,2012-08-12,71.74,149211.955043591,"Male",4,2020-06-22
"00000097","Tre","Holliday","tre.holliday@widgetcorp.com","Engineering","Manager",7.38007210198623,2013-02-03,46.25,96190.508401249,"Male",3,2020-06-22
"00000104","Abdul Haadi","al-Radi","abdul haadi.al-radi@widgetcorp.com","Engineering","Manager",7.23779010069627,2013-03-27,52.98,110189.229538943,"Male",6,2020-06-22
"00000114","Bilaal","al-Younan","bilaal.al-younan@widgetcorp.com","Engineering","Director",7.14803695008981,2013-04-29,55.81,116082.76170305,"Male",6,2020-06-22
"00000120","May","Roseveare","may.roseveare@widgetcorp.com","Engineering","VP",7.06421789346513,2013-05-29,45.09,93795.6695470542,"Female",2,2020-06-22
"00000126","Dyami","Cunningham","dyami.cunningham@widgetcorp.com","Engineering","Director",6.989387647225,2013-06-26,40.81,84886.6091263909,"Male",1,2020-06-22
"00000143","Morgan","Lomeli","morgan.lomeli@widgetcorp.com","Engineering","Associate",6.74106033772569,2013-09-24,35.12,73044.9217397917,"Female",4,2020-06-22
"00000158","Ramy","Harris","ramy.harris@widgetcorp.com","Engineering","Director",6.49730592258589,2013-12-22,56.49,117508.292264321,"Male",3,2020-06-22
"00000164","Shakeela","el-Hasen","shakeela.el-hasen@widgetcorp.com","Engineering","Manager",6.44398775630702,2014-01-11,38.24,79529.8132030892,"Female",6,2020-06-22
"00000167","Quinten","Tran","quinten.tran@widgetcorp.com","Engineering","VP",6.42012376014865,2014-01-20,67.93,141294.450750012,"Male",1,2020-06-22
"00000171","Regina","Sandoval","regina.sandoval@widgetcorp.com","Engineering","Manager",6.34123973502326,2014-02-17,39.93,83051.9889358365,"Female",4,2020-06-22
"00000173","Irfan","Leung","irfan.leung@widgetcorp.com","Engineering","Associate",6.33870894690949,2014-02-18,38.55,80179.4480874114,"Male",2,2020-06-22
"00000175","Joshua","Gomez","joshua.gomez@widgetcorp.com","Engineering","Manager",6.31268739849514,2014-02-28,47.5,98792.3431372439,"Male",4,2020-06-22
"00000188","Haifaaa","al-Salam","haifaaa.al-salam@widgetcorp.com","Engineering","Director",6.15177086505894,2014-04-28,43.5,90476.4276775428,"Female",6,2020-06-22
"00000190","Abigail","Quach","abigail.quach@widgetcorp.com","Engineering","Analyst",6.14213342792226,2014-05-01,28.62,59531.7956526118,"Female",2,2020-06-22
"00000192","Ghaaziya","el-Doud","ghaaziya.el-doud@widgetcorp.com","Engineering","Director",6.11594410414267,2014-05-11,41.88,87104.7988644218,"Female",6,2020-06-22
"00000198","Paris","Balogh","paris.balogh@widgetcorp.com","Engineering","Analyst",6.0731497489906,2014-05-26,27.78,57775.9759370097,"Female",1,2020-06-22
"00000208","Maleeka","el-Akhtar","maleeka.el-akhtar@widgetcorp.com","Engineering","Analyst",5.97358348968173,2014-07-02,30.13,62664.4514829835,"Female",6,2020-06-22
"00000213","Shannon","Glover","shannon.glover@widgetcorp.com","Engineering","Director",5.94043988567121,2014-07-14,41.73,86800.6371180064,"Female",2,2020-06-22
"00000231","Jennifer","Sanders","jennifer.sanders@widgetcorp.com","Engineering","Manager",5.718965216541,2014-10-03,37.9,78833.2452741528,"Female",5,2020-06-22
"00000233","Misfar","al-Shafi","misfar.al-shafi@widgetcorp.com","Engineering","Manager",5.69082223514907,2014-10-13,39.53,82212.5273727791,"Male",6,2020-06-22
"00000245","Christian","Rocha","christian.rocha@widgetcorp.com","Engineering","Manager",5.5782696534753,2014-11-23,47.47,98732.852922784,"Male",1,2020-06-22
"00000247","Joe","Bell-Sandoval","joe.bell-sandoval@widgetcorp.com","Engineering","Analyst",5.5531983943474,2014-12-02,32.56,67724.8574474628,"Male",3,2020-06-22
"00000256","Najeeb","al-Abdi","najeeb.al-abdi@widgetcorp.com","Engineering","Director",5.48914785475417,2014-12-26,53.18,110615.147187735,"Male",6,2020-06-22
"00000257","Delray","Molina","delray.molina@widgetcorp.com","Engineering","Analyst",5.48844059801285,2014-12-26,33.38,69430.2502501982,"Male",1,2020-06-22
"00000260","Masood","el-Abdi","masood.el-abdi@widgetcorp.com","Engineering","Analyst",5.46059094067848,2015-01-05,34.65,72077.0145666833,"Male",6,2020-06-22
"00000269","Xiadani","Hernandez","xiadani.hernandez@widgetcorp.com","Engineering","Analyst",5.4068452286188,2015-01-25,26.65,55433.0762016166,"Female",4,2020-06-22
"00000274","Shantia","Blackwell","shantia.blackwell@widgetcorp.com","Engineering","Associate",5.35885402208597,2015-02-11,32.01,66583.0640908833,"Female",3,2020-06-22
"00000295","Remy","Xiong","remy.xiong@widgetcorp.com","Engineering","Manager",5.1851892699927,2015-04-16,38.52,80128.180946074,"Female",2,2020-06-22
"00000297","Adrian","Quinones-Nunez","adrian.quinones-nunez@widgetcorp.com","Engineering","Director",5.16138705831069,2015-04-24,64.34,133816.840253501,"Male",4,2020-06-22
"00000300","Hadiyya","al-Shaer","hadiyya.al-shaer@widgetcorp.com","Engineering","Associate",5.15161449351771,2015-04-28,34.08,70882.0160750504,"Female",6,2020-06-22
"00000302","Irene","Mestas","irene.mestas@widgetcorp.com","Engineering","Associate",5.13825443580275,2015-05-03,32.29,67160.9824097926,"Female",4,2020-06-22
"00000306","Pacific","Ibarra","pacific.ibarra@widgetcorp.com","Engineering","Analyst",5.08990695133316,2015-05-20,34.07,70873.1779122143,"Male",4,2020-06-22
"00000318","Saif","al-Kanan","saif.al-kanan@widgetcorp.com","Engineering","Director",4.9922250860956,2015-06-25,60.17,125155.940491793,"Male",6,2020-06-22
"00000321","Souphakone","Owen","souphakone.owen@widgetcorp.com","Engineering","Associate",4.98066773422069,2015-06-29,49.2,102341.383846876,"Male",2,2020-06-22
"00000327","Austin","Koschnitzke","austin.koschnitzke@widgetcorp.com","Engineering","Director",4.92445645381034,2015-07-20,49.85,103684.517820977,"Male",5,2020-06-22
"00000333","Kirie","Harris","kirie.harris@widgetcorp.com","Engineering","Manager",4.81927445966356,2015-08-27,54.69,113751.204960489,"Male",3,2020-06-22
"00000343","Tiffiny","Johnson","tiffiny.johnson@widgetcorp.com","Engineering","Analyst",4.71181492210988,2015-10-06,27.29,56767.601680968,"Female",3,2020-06-22
"00000365","Abbaas","al-Vaziri","abbaas.al-vaziri@widgetcorp.com","Engineering","Associate",4.54679665980867,2015-12-05,51.64,107416.418759024,"Male",6,2020-06-22
"00000379","Aerial","Conley","aerial.conley@widgetcorp.com","Engineering","Analyst",4.40549020352054,2016-01-25,29.52,61405.7703693899,"Female",3,2020-06-22
"00000394","Nicholas","Sago","nicholas.sago@widgetcorp.com","Engineering","Associate",4.28979382434369,2016-03-08,35.42,73672.8973220177,"Male",3,2020-06-22
"00000395","Tyler","Willis","tyler.willis@widgetcorp.com","Engineering","Director",4.2893813875701,2016-03-08,51.71,107561.528028563,"Male",5,2020-06-22
"00000398","Denisse","Romero Dominguez","denisse.romero dominguez@widgetcorp.com","Engineering","Analyst",4.28690600181038,2016-03-09,27.59,57391.3806204999,"Female",4,2020-06-22
"00000400","Ciera","Neal","ciera.neal@widgetcorp.com","Engineering","Analyst",4.27575193996533,2016-03-13,25.86,53788.272036432,"Female",3,2020-06-22
"00000404","Alysse","Shih","alysse.shih@widgetcorp.com","Engineering","Analyst",4.23424086196202,2016-03-28,26.87,55880.4064978112,"Female",2,2020-06-22
"00000409","Jordan","Stenson","jordan.stenson@widgetcorp.com","Engineering","Analyst",4.15420996424082,2016-04-26,41.51,86338.9873500458,"Male",3,2020-06-22
"00000410","Kayla","Long","kayla.long@widgetcorp.com","Engineering","Associate",4.14178659275658,2016-05-01,34.08,70884.6675961044,"Female",3,2020-06-22
"00000423","Rene","Mcclanahan","rene.mcclanahan@widgetcorp.com","Engineering","Analyst",3.93138348733408,2016-07-17,27.19,56560.2393033471,"Male",4,2020-06-22
"00000426","Kelsey","Yazzie","kelsey.yazzie@widgetcorp.com","Engineering","Analyst",3.89044204557464,2016-08-01,27.85,57923.1098346545,"Female",1,2020-06-22
"00000433","Luis","Maes","luis.maes@widgetcorp.com","Engineering","Analyst",3.82762813052746,2016-08-23,33.61,69901.4065781953,"Male",4,2020-06-22
"00000448","Adriana","Johnson","adriana.johnson@widgetcorp.com","Engineering","Analyst",3.6657635768586,2016-10-22,26.9,55961.8097223537,"Female",3,2020-06-22
"00000450","Alexander","Jamili","alexander.jamili@widgetcorp.com","Engineering","Manager",3.65080017729702,2016-10-27,37.9,78840.9033632303,"Male",2,2020-06-22
"00000459","Lubna","al-Haque","lubna.al-haque@widgetcorp.com","Engineering","Associate",3.54104933732015,2016-12-06,34.57,71901.4888238205,"Female",6,2020-06-22
"00000473","Logan","Wallace","logan.wallace@widgetcorp.com","Engineering","Analyst",3.44041767859698,2017-01-12,27.27,56720.4402909327,"Male",5,2020-06-22
"00000488","Awf","el-Riaz","awf.el-riaz@widgetcorp.com","Engineering","Analyst",3.25920949064286,2017-03-19,40.5,84245.5884009818,"Male",6,2020-06-22
"00000489","Terry","Skodack","terry.skodack@widgetcorp.com","Engineering","Analyst",3.25834323975354,2017-03-19,28.58,59450.6470383373,"Male",2,2020-06-22
"00000498","Ana","Ruiz","ana.ruiz@widgetcorp.com","Engineering","Associate",3.11149297997252,2017-05-12,27.84,57916.0107656598,"Female",4,2020-06-22
"00000502","Fareeda","el-Begum","fareeda.el-begum@widgetcorp.com","Engineering","Analyst",3.01149736874029,2017-06-18,28.29,58849.3566517835,"Female",6,2020-06-22
"00000504","Safwa","al-Bangura","safwa.al-bangura@widgetcorp.com","Engineering","Analyst",2.99197801404978,2017-06-25,28.44,59163.1881204956,"Female",6,2020-06-22
"00000508","Alisha","Valdez","alisha.valdez@widgetcorp.com","Engineering","Associate",2.96472151981817,2017-07-05,31.24,64970.7976456297,"Female",4,2020-06-22
"00000513","Tiare","Salvador","tiare.salvador@widgetcorp.com","Engineering","Analyst",2.83356146716619,2017-08-22,25.68,53415.0855493209,"Female",2,2020-06-22
"00000001","Dayja","Hill II","dayja.hill ii@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,96.51,200736.828908259,"Female",3,2020-06-22
"00000002","Karlena","Culpepper","karlena.culpepper@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,97.03,201825.741053752,"Female",1,2020-06-22
"00000003","Mckayla","Valdez-Casillas","mckayla.valdez-casillas@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,93.87,195256.373036422,"Female",4,2020-06-22
"00000004","Nadeera","el-Lone","nadeera.el-lone@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,100.04,208083.748029178,"Female",6,2020-06-22
"00000005","Gursev","Nguyen","gursev.nguyen@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,124.06,258043.454442662,"Male",2,2020-06-22
"00000006","Darius","Gardner","darius.gardner@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,118.55,246584.728901636,"Male",3,2020-06-22
"00000007","Percilla","Scott","percilla.scott@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,96.5,200723.680195822,"Female",3,2020-06-22
"00000008","Akshat","Park","akshat.park@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,147.3,306386.575090199,"Male",2,2020-06-22
"00000009","Nabeel","al-Mansur","nabeel.al-mansur@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,107.25,223076.513721423,"Male",6,2020-06-22
"00000010","Waleed","al-Hallal","waleed.al-hallal@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,85.43,177701.369220418,"Male",6,2020-06-22
"00000011","Manuel","Rivera","manuel.rivera@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,84.65,176072.598985469,"Male",1,2020-06-22
"00000012","Gabrielle","Rodriguez","gabrielle.rodriguez@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,100.02,208037.706700727,"Female",4,2020-06-22
"00000013","Morgan","Bryan","morgan.bryan@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,125.01,260012.141415389,"Male",5,2020-06-22
"00000014","Shaheer","al-Abdo","shaheer.al-abdo@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,134.17,279079.962079331,"Male",6,2020-06-22
"00000015","Kayla","Shaver","kayla.shaver@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,93.55,194585.492443695,"Female",5,2020-06-22
"00000016","Mahbooba","al-Salloum","mahbooba.al-salloum@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,99.05,206014.250151362,"Female",6,2020-06-22
"00000017","Stephanie","Sam","stephanie.sam@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,97.63,203061.385632928,"Female",1,2020-06-22
"00000018","Miranda","Gomez","miranda.gomez@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,97.45,202702.138831525,"Female",4,2020-06-22
"00000019","Xavier","Pillow","xavier.pillow@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,89.61,186379.967746552,"Male",3,2020-06-22
"00000020","Ryvon","Riley-King","ryvon.riley-king@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,146.8,305347.71833023,"Male",3,2020-06-22
"00000021","John","Freeman","john.freeman@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,115.12,239457.308524253,"Male",2,2020-06-22
"00000022","Jeffrey","Juan","jeffrey.juan@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,139.93,291055.955000335,"Male",4,2020-06-22
"00000023","Myles","Foley","myles.foley@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,106.74,222019.98118886,"Male",2,2020-06-22
"00000024","Abdul Maalik","al-Usman","abdul maalik.al-usman@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,135.07,280955.819748813,"Male",6,2020-06-22
"00000025","Angelica","Moua","angelica.moua@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,99.2,206332.374931374,"Female",2,2020-06-22
"00000026","Shelby","Chittum","shelby.chittum@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,97.05,201863.472224766,"Female",1,2020-06-22
"00000027","Mawzoona","al-Shehata","mawzoona.al-shehata@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,101.35,210804.519435244,"Female",6,2020-06-22
"00000028","Juan","Lerma Alvarado","juan.lerma alvarado@widgetcorp.com","Executive","Executive",12.7975490029108,2007-09-04,120.61,250864.646679405,"Male",4,2020-06-22
"00000030","Aeones","Mitta","aeones.mitta@widgetcorp.com","Finance","VP",9.92310927974809,2010-07-20,71.64,149012.19961418,"Male",2,2020-06-22
"00000043"," Mahdi","el-Hannan"," mahdi.el-hannan@widgetcorp.com","Finance","Director",9.05008314867279,2011-06-04,54.77,113915.935880628,"Male",6,2020-06-22
"00000102","Kaitlyn","Skyhorse","kaitlyn.skyhorse@widgetcorp.com","Finance","Director",7.29260976474297,2013-03-07,45.93,95536.1948932734,"Female",1,2020-06-22
"00000140","Luwai","el-Younes","luwai.el-younes@widgetcorp.com","Finance","VP",6.80532954452446,2013-09-01,60.94,126758.751748475,"Male",6,2020-06-22
"00000169","Nasreen","al-Nazir","nasreen.al-nazir@widgetcorp.com","Finance","Associate",6.3727953162692,2014-02-06,31.34,65188.4960308842,"Female",6,2020-06-22
"00000217","Valantina","Jones","valantina.jones@widgetcorp.com","Finance","Associate",5.92266631758299,2014-07-20,35.06,72928.8438039344,"Female",4,2020-06-22
"00000224","Danzic","Lindemann","danzic.lindemann@widgetcorp.com","Finance","Analyst",5.7982042192757,2014-09-04,40.14,83489.5827051246,"Male",5,2020-06-22
"00000263","Zachary","Sale","zachary.sale@widgetcorp.com","Finance","Associate",5.43525914704633,2015-01-14,44.01,91541.0391236938,"Male",2,2020-06-22
"00000283","Odyssey","Smith","odyssey.smith@widgetcorp.com","Finance","Analyst",5.3084969138779,2015-03-02,27.15,56464.8348907115,"Female",3,2020-06-22
"00000316","Margaret","Welle","margaret.welle@widgetcorp.com","Finance","Associate",5.01306450606313,2015-06-17,34.2,71143.8971762754,"Female",5,2020-06-22
"00000323","Dayquan","Hubbard","dayquan.hubbard@widgetcorp.com","Finance","Associate",4.97238235907332,2015-07-02,46.52,96757.7870540317,"Male",3,2020-06-22
